"subject","session","ID","age","male","Rfooted","Rhanded","education","bilingual","languages","centre","date","AoA.English","nativeEnglish","mother.LH","father.LH","siblings","siblings.LH","Nhandknown","NLHrelative","famsin","EHI.LI","Reyed","lexTALE","lexExclude","lexCode","gramerrs","gramerr12","DLsame.corr","excludeDL","DL.L","DL.R","DL.even.L","DL.odd.L","DL.even.R","DL.odd.R","DL.LI","DL.odd.LI","DL.even.LI","DL.odd.n","DL.odd.zlat","DL.even.n","DL.even.zlat","DL.n","DL.zlat","RDT.pcorr","RDT.Lmean","RDT.Lsd","RDT.LN","RDT.Rmean","RDT.Rsd","RDT.RN","RDT.LI","RDT.se","RDT.zlat","excludeRDT","RDT.odd.pcorr","RDT.odd.Lmean","RDT.odd.Lsd","RDT.odd.LN","RDT.odd.Rmean","RDT.odd.Rsd","RDT.odd.RN","RDT.odd.LI","RDT.odd.se","RDT.odd.zlat","RDT.even.pcorr","RDT.even.Lmean","RDT.even.Lsd","RDT.even.LN","RDT.even.Rmean","RDT.even.Rsd","RDT.even.RN","RDT.even.LI","RDT.even.se","RDT.even.zlat","WC_pCorr","excludeWC","WC.pcorr","WC.Lmean","WC.Lsd","WC.LN","WC.Rmean","WC.Rsd","WC.RN","WC.LI","WC.se","WC.zlat","WC.odd.pcorr","WC.odd.Lmean","WC.odd.Lsd","WC.odd.LN","WC.odd.Rmean","WC.odd.Rsd","WC.odd.RN","WC.odd.LI","WC.odd.se","WC.odd.zlat","WC.even.pcorr","WC.even.Lmean","WC.even.Lsd","WC.even.LN","WC.even.Rmean","WC.even.Rsd","WC.even.RN","WC.even.LI","WC.even.se","WC.even.zlat","colourScales.L","colourScales.R","colourScales_zlat","Emot_corr_same","Emot_corr_diff","exCF","CF.L","CF.R","CF.LI","CF.zlat"
13151603,1,3151603,23,0,1,1,3,"No",NA,"BANG","25/02/2021 11:22:50",NA,1,"No","No","1","0",3,0,0,100,1,95,0,"Advanced",4,0,1,0,35,41,20,15,18,23,7.9,21.1,-5.3,38,1.32752357439697,38,-0.324893144826966,76,0.690402094626609,0.939698492462312,861.373152173853,337.3334258637,92,922.10015789238,318.275357133435,95,-3.4,48.0687071355142,-1.26333761270772,0,0.95,837.746702127179,279.147049001012,47,856.978124994688,238.608094653393,48,-1.1,53.483031273153,-0.35957989683286,0.929292929292929,886.049666667047,390.720206623465,45,988.607765958109,374.014063152507,47,-5.5,80.1510990629984,-1.27955948814192,0.935185185185185,0,0.935185185185185,936.804414896463,127.270211767814,94,985.353802085835,102.576216931314,96,-2.5,16.7878739153694,-2.89193184521864,0.935185185185185,934.327812504004,141.819028051045,48,986.160000005232,87.2077597947748,48,-2.7,24.1003296617435,-2.1506837553142,0.935185185185185,939.388695653812,111.603582661342,46,984.547604166438,116.880748700602,48,-2.3,23.7234223764336,-1.903557918249,30,10,-3.65148371670111,0.875,0.695652173913043,0,11,5,-37.5,-1.61807966991178
13182261,1,3182261,23,0,1,1,5,"No",NA,"LINC","28/02/2021 18:35:15",NA,1,"No","No","1","0",3,0,0,88.2352941176471,0,88.75,0,"Advanced",3,0,0.83,0,43,21,21,22,9,12,-34.4,-29.4,-40,34,-1.79435140641318,30,-2.39045721866879,64,-2.92845663281478,0.872549019607843,865.109302325601,212.011634879358,86,836.29782608696,255.042405428306,92,1.7,35.4024404580227,0.813827404718145,0,0.882352941176471,894.395833333335,211.111597954243,48,886.26428571428,257.71970671641,42,0.5,49.7779046812301,0.163356566957329,0.862745098039216,828.115789473726,210.06980246126,38,794.32600000001,247.563843598235,50,2.1,50.2960416726978,0.671818066590668,0.907407407407407,0,0.907407407407407,761.497849462378,148.486077504656,93,775.196703296722,165.543960895625,91,-0.9,23.2428290104266,-0.589379796590104,0.87962962962963,771.389130434778,152.829049344917,46,764.509756097572,175.620434182468,41,0.4,35.4495516058,0.194060969055553,0.935185185185185,751.817021276624,145.098840853492,47,783.960000000024,158.06278654319,50,-2.1,31.0411450717762,-1.03549590870686,18,22,0.635641726163729,0.875,0.625,0,5,10,33.3333333333333,1.36930639376292
13228854,1,3228854,19,0,1,0,3,"No",NA,"LINC","03/03/2021 19:50:41",NA,1,"No","No","1","0",3,0,0,-25,1,96.25,0,"Advanced",6,0,0.94,0,33,39,17,16,19,20,8.3,11.1,5.6,36,0.670820393249937,36,0.333848930444794,72,0.709574875186899,0.940298507462687,775.209725276659,183.063361593585,91,731.298418375853,174.841415018335,98,2.9,26.1025308553683,1.68226242673992,0,0.97029702970297,812.56662791075,202.556046965249,43,725.856000011448,167.224297229163,55,5.6,37.5191366250745,2.31110403114533,0.91,741.744166666952,158.390580157017,48,738.259651167535,185.900415967152,43,0.2,36.3355552315876,0.0958982318340412,0.958333333333333,0,0.958333333333333,689.955969407622,97.6112520013085,98,661.413415842275,97.8228868402347,101,2.1,13.8909671626642,2.05475639176973,0.962962962962963,684.919777807469,94.3842739492048,45,670.954568961892,99.5947867166542,58,1,19.4407665619266,0.718346614630252,0.953703703703704,694.231981143602,100.969545954382,53,648.543953494884,95.0112838584134,43,3.4,20.2857779066465,2.25221965156922,24,16,-1.29099444873581,1,1,0,11,9,-10,-0.449466574975495
13233999,1,3233999,19,0,0,0,3,"No",NA,"LINC","04/03/2021 12:43:33",NA,1,"No","No","3","0",5,0,0,-89.4736842105263,0,100,0,"Advanced",0,0,1,0,45,28,21,24,16,12,-23.3,-33.3,-13.5,36,-2.12132034355964,37,-0.82960475385514,73,-2.04595031670192,0.985074626865672,1141.48927836669,365.722011662457,97,1206.40856437938,426.885368509928,101,-2.8,56.7613061910519,-1.14372431448599,0,0.98019801980198,1155.72343752137,385.603674635099,48,1187.69990199008,446.795442340197,51,-1.4,84.6064064662502,-0.377943772868586,0.99,1127.54561225599,348.585155249142,49,1225.49140001647,409.223878966955,50,-4.2,76.9273944972063,-1.2732237767918,0.962962962962963,0,0.962962962962963,1004.83878949461,165.003505789253,95,1040.73909998871,150.495767614301,100,-1.8,22.6510081460608,-1.58493212587303,0.972222222222222,1005.77450002544,143.780178173732,50,1055.32919997349,154.270181063075,50,-2.4,29.985906079898,-1.65259971854835,0.953703703703704,1003.79911112703,187.459213077768,45,1026.14900000393,146.718971942052,50,-1.1,34.5055442299335,-0.647718776089328,32,8,-4.74341649025257,1,0.631578947368421,0,8,4,-33.3333333333333,-1.22474487139159
13254084,1,3254084,24,0,1,1,5,"No",NA,"LINC","06/03/2021 13:35:50",NA,1,"Yes","Yes","2","0",4,2,0.5,80,1,88.75,0,"Advanced",3,0,0.89,0,35,40,19,16,20,20,6.7,11.1,2.6,36,0.670820393249937,39,0.160180818879296,75,0.578637562357845,0.95959595959596,890.869615415295,235.858727946532,91,852.660959680574,217.332437467206,99,2.2,32.9578484445284,1.15931887359184,0,0.97,925.983979613805,252.425359846614,49,866.296666674316,209.543706952996,48,3.3,47.3572962028787,1.26036150129409,0.948979591836735,849.902857183701,210.530346426929,42,839.827353098229,225.736349105745,51,0.6,45.9016013979045,0.219502234750611,0.930555555555556,0,0.930555555555556,943.427731983901,127.531058437986,97,958.861847894023,166.43497382561,92,-0.8,21.5745372237875,-0.715385722995015,0.944444444444444,940.923191606998,120.611503859342,47,947.438333416358,157.794486346214,48,-0.3,29.0543786653149,-0.224239584828476,0.916666666666667,945.78199993819,134.893779271465,50,971.32386368784,176.358503047737,44,-1.3,32.3984812958774,-0.788366081619399,32,8,-4.74341649025257,1,0.894736842105263,0,11,6,-29.4117647058824,-1.26879804730638
13285414,1,3285414,41,0,0,0,7,"No",NA,"LINC","09/03/2021 20:03:43",NA,1,"No","No","0","0",2,0,0,-66.6666666666667,1,100,0,"Advanced",1,0,1,0,33,45,18,15,20,25,15.4,25,5.3,40,1.63299316185545,38,0.324893144826965,78,1.37510330190466,0.979274611398964,904.847252747629,205.614901904191,91,895.792295917814,246.816826105175,98,0.5,33.2839266631935,0.272051940308704,0,0.979591836734694,942.134239132271,219.404361879779,46,859.255099998845,242.879245308333,50,4.6,47.6608682131205,1.73893473284671,0.978947368421053,866.73166666555,185.216150339338,45,933.851875000073,247.639709825883,48,-3.7,45.901012999873,-1.46228163493274,0.939814814814815,0,0.939814814814815,815.723244681492,105.18646316419,94,843.554081633148,114.416821303775,98,-1.7,15.9250995237255,-1.74760835310274,0.944444444444444,838.623367347671,112.161023370736,49,824.844130435414,114.527241268335,46,0.8,23.3901785263579,0.58910353748389,0.935185185185185,790.787555556098,91.8804113163992,45,860.105192308066,112.829696559966,52,-4.2,21.2352824870238,-3.26426723046071,18,22,0.635641726163729,1,0.954545454545455,0,13,8,-23.8095238095238,-1.12339629284115
13308424,1,3308424,35,1,1,1,3,"No",NA,"UCL","11/03/2021 16:13:35",NA,1,"No","No","1","0",3,0,0,87.5,NA,95,0,"Advanced",0,0,0.89,0,25,44,8,17,26,18,27.5,2.9,52.9,35,0.16909988539863,34,3.63873393028188,69,2.37931426331966,0.791044776119403,1177.5875,403.984449310626,80,1127.40506329114,413.637290605142,79,2.2,65.0536156328653,0.77140119301084,0,0.772277227722772,1082.64705882353,406.088949977856,34,1118.93181818182,384.235598615132,44,-1.6,90.4983138615951,-0.400944037629048,0.81,1247.76086956522,392.091723100184,46,1138.05714285714,453.416828280631,35,4.6,94.805989533764,1.15713919814111,0.796296296296296,0,0.796296296296296,876.632183908046,134.82366735011,87,840.075949367089,137.376870011481,79,2.1,21.2083134268141,1.7236747592922,0.805555555555556,882.452830188679,136.530437017614,53,838.40625,150.882748618406,32,2.6,32.0185631387402,1.37565761454754,0.787037037037037,867.558823529412,133.638406559136,34,841.212765957447,129.057105016449,47,1.5,29.6718871036736,0.887913110477665,11,29,3.1869640430843,0.875,0.818181818181818,0,9,9,0,0
13342984,1,3342984,25,0,1,1,6,"No",NA,"UCL","15/03/2021 13:23:04",NA,1,"No","No","0","0",2,0,0,100,1,96.25,0,"Advanced",5,0,1,0,33,48,17,16,23,25,18.5,22,15,41,1.44070295342239,40,0.959539531510801,81,1.69600131324992,0.923469387755102,773.325000002626,155.281678216673,84,744.353711353039,152.976352656686,97,1.9,23.023286395609,1.25834722948641,0,0.939393939393939,790.862738099393,146.616755369614,42,737.872254906916,167.907577355019,51,3.5,33.2644064295344,1.59300853014555,0.907216494845361,755.787261905858,163.359375279374,42,751.53967393461,136.006849404728,46,0.3,32.0961360139271,0.132339542971954,0.912037037037037,0,0.912037037037037,665.193647058571,71.3252308101349,85,655.608437501845,83.9894745985787,96,0.7,11.6992526753937,0.819301012011319,0.888888888888889,666.566875012359,69.7327421595273,40,642.643333339947,85.0608545296336,48,1.8,16.9162657866067,1.41423302129437,0.935185185185185,663.972999988538,73.4763723785264,45,668.573541663742,81.7304347701837,48,-0.3,16.2510306887928,-0.283092301239536,9,31,4.16505345114514,1,0.80952380952381,0,7,10,17.6470588235294,0.739208070456872
13359167,1,3359167,35,1,1,1,6,"Yes","Japanese","Ox","16/03/2021 20:28:18","1",0,"Don't know","Don't know","0","0",0,NA,NA,-38.4615384615385,1,90,0,"Advanced",1,0,1,0,31,27,19,12,14,13,-6.9,4,-15.2,25,0.200160192256359,33,-0.880554336682083,58,-0.526479255253865,0.897849462365591,878.354430379747,235.97093682272,79,841.340909090909,228.7312274246,88,2.2,36.0915014948504,1.02554672861474,0,0.870967741935484,867.410256410256,248.552093231847,39,814.761904761905,216.053720682319,42,3.1,51.9295685871685,1.01384149879806,0.924731182795699,889.025,225.685450208686,40,865.608695652174,239.492748974983,46,1.3,50.7281213304366,0.461604012403599,0.949074074074074,0,0.949074074074074,673.772277227723,96.0970219297267,101,734.163043478261,108.309109656536,92,-4.3,14.7575975963228,-4.09218139039011,0.972222222222222,669.563636363636,90.9844845618,55,735.976744186047,110.107196333325,43,-4.7,20.444425442659,-3.24847024968644,0.925925925925926,678.804347826087,102.664852703719,46,732.571428571429,107.824316985239,49,-3.8,21.7515263128493,-2.47187622477691,37,3,-10.2051038281903,0.875,0.869565217391304,0,11,9,-10,-0.449466574975495
13370826,1,3370826,44,0,0,0,5,"No",NA,"Ox","17/03/2021 14:18:38",NA,1,"No","No","2","2",4,2,0.5,-71.4285714285714,0,95,0,"Advanced",7,2,0.94,0,34,39,16,18,22,17,6.8,-2.9,15.8,35,-0.169099885398631,38,0.985693111009157,73,0.586583275987456,0.810344827586207,1163.97264705858,403.076848524187,68,1084.07815068534,467.590548551242,73,3.6,74.0676929908736,1.07866862254073,0,0.802325581395349,1172.69249999877,370.582617139709,34,1196.58542857131,485.671363590415,35,-1,105.198261598893,-0.227122846037551,0.818181818181818,1155.25279411839,438.608136720757,34,980.453026316689,430.940612776236,38,8.2,103.306140454481,1.69205593232593,0.861111111111111,0,0.861111111111111,896.463720931172,162.581326573664,86,898.29296703421,157.978380998353,91,-0.1,24.1637910938858,-0.0757019499105092,0.87037037037037,887.25130952454,156.599933208111,42,871.537765958644,158.869113984504,47,0.9,33.7018708326252,0.466251373519732,0.851851851851852,905.257386364776,169.427656386727,44,926.872386364928,153.679675327354,44,-1.2,34.6647634194573,-0.623543848795437,30,10,-3.65148371670111,0.625,0.875,1,12,9,-14.2857142857143,-0.661437827766148
